title,author,average_rating,ratings_count,reviews_count,book_url,rating_to_review_ratio
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.96,1914041,229684.91999999998,https://www.goodreads.com/book/show/113436.Eragon,8.33329705190462
The Song of Achilles,Madeline Miller,4.31,1904553,228546.36,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,8.333296871160533
The Time Traveler's Wife,Audrey Niffenegger,4.0,1848159,221779.08,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,8.333295758573088
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.75,1845561,221467.31999999998,https://www.goodreads.com/book/show/1162543.Breaking_Dawn,8.33329570567926
"Eat, Pray, Love",Elizabeth Gilbert,3.64,1827599,219311.88,https://www.goodreads.com/book/show/19501.Eat_Pray_Love,8.33329533586901
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16,1819474,218336.88,https://www.goodreads.com/book/show/33648131-the-notebook,8.333295166189211
The Picture of Dorian Gray,Oscar Wilde,4.13,1812355,217482.6,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,8.333295016267893
Daisy Jones & The Six,Taylor Jenkins Reid,4.2,1801412,216169.44,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,8.33329478350509
Educated,Tara Westover,4.47,1800484,216058.08,https://www.goodreads.com/book/show/35133922-educated,8.333294763635946
Normal People,Sally Rooney,3.81,1796391,215566.91999999998,https://www.goodreads.com/book/show/41057294-normal-people,8.33329467575695
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.89,1793630,215235.6,https://www.goodreads.com/book/show/35031085-frankenstein,8.33329461625021
The Love Hypothesis,Ali Hazelwood,4.11,1774836,212980.31999999998,https://www.goodreads.com/book/show/56732449-the-love-hypothesis,8.333294206271237
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1774775,212973.0,https://www.goodreads.com/book/show/17347634-me-before-you,8.333294204926423
Life of Pi,Yann Martel,3.94,1736559,208387.08,https://www.goodreads.com/book/show/4214.Life_of_Pi,8.333293343841932
"The Selection (The Selection, #1)",Kiera Cass,4.07,1731325,207759.0,https://www.goodreads.com/book/show/10507293-the-selection,8.333293222949557
Looking for Alaska,John Green,3.96,1726431,207171.72,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,8.333293109247203
A Thousand Splendid Suns,Khaled Hosseini,4.45,1700364,204043.68,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,8.333292492605052
Water for Elephants,Sara Gruen,4.11,1687263,202471.56,https://www.goodreads.com/book/show/43641.Water_for_Elephants,8.333292175492817
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.29,1677612,201313.44,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,8.333291938720341
"The Shining (The Shining, #1)",Stephen        King,4.28,1665444,199853.28,https://www.goodreads.com/book/show/11588.The_Shining,8.333291636286198
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.01,1659229,199107.47999999998,https://www.goodreads.com/book/show/26032825-the-cruel-prince,8.333291480101702
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36,1649792,197975.03999999998,https://www.goodreads.com/book/show/17167166-crown-of-midnight,8.333291240697612
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,1649582,197949.84,https://www.goodreads.com/book/show/6186357-the-maze-runner,8.333291235339036
"Insurgent (Divergent, #2)",Veronica Roth,3.96,1605179,192621.47999999998,https://www.goodreads.com/book/show/11735983-insurgent,8.333290070816242
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1601333,192159.96,https://www.goodreads.com/book/show/119322.The_Golden_Compass,8.333289966911073
Dune (Dune #1),Frank Herbert,4.29,1589380,190725.6,https://www.goodreads.com/book/show/44767458-dune,8.333289640773756
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1578681,189441.72,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,8.333289344663125
Beach Read,Emily Henry,3.98,1568183,188181.96,https://www.goodreads.com/book/show/52867387-beach-read,8.33328905018818
And Then There Were None,Agatha Christie,4.27,1566167,187940.03999999998,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,8.333288993186375
The Outsiders,S.E. Hinton,4.14,1557491,186898.91999999998,https://www.goodreads.com/book/show/231804.The_Outsiders,8.33328874619101
Paper Towns,John Green,3.7,1473271,176792.52,https://www.goodreads.com/book/show/6442769-paper-towns,8.333286197367416
